avg,mon_count,mon_sum,stu_id
8.65649484536,97,839.68,0
8.05776699029,103,829.95,2
5.0,2,10.0,8
11.0363636364,22,242.8,10
3.5,4,14.0,16
10.621875,64,679.8,20
11.4219512195,41,468.3,22
6.78984375,128,869.1,28
0.3,2,0.6,32
8.48604651163,86,729.8,34
8.56655737705,61,522.56,36
16.751971831,142,2378.78,38
7.55545454545,110,831.1,46
6.18047619048,210,1297.9,48
7.47,10,74.7,56
13.9926923077,52,727.62,60
7.86496240602,133,1046.04,62
6.22807017544,57,355.0,64
9.34814814815,81,757.2,66
8.37058823529,119,996.1,70
5.21772151899,158,824.4,72
5.24240837696,191,1001.3,74
10.6022160665,361,3827.4,76
8.55,14,119.7,82
9.3393442623,122,1139.4,88
9.52954545455,44,419.3,90
12.7388888889,36,458.6,92
6.21764705882,136,845.6,96
7.39811320755,106,784.2,98
7.95080645161,124,985.9,100
13.4864423077,104,1402.59,102
6.68214285714,112,748.4,104
7.03170731707,41,288.3,108
8.32227979275,193,1606.2,110
3.9375,8,31.5,112
3.4,6,20.4,114
1.81034482759,29,52.5,116
3.625,24,87.0,120
8.1,6,48.6,136
4.11666666667,12,49.4,138
10.2759322034,59,606.28,142
8.684375,16,138.95,146
3.4,1,3.4,148
3.1,1,3.1,152
4.775,48,229.2,154
6.81758241758,91,620.4,158
8.00763636364,55,440.42,160
4.81761363636,176,847.9,162
6.83691304348,230,1572.49,166
3.34285714286,21,70.2,172
0.321428571429,7,2.25,178
14.5428571429,7,101.8,182
5.38878504673,107,576.6,184
12.431884058,69,857.8,186
11.0691176471,68,752.7,190
4.4,1,4.4,192
4.48064516129,31,138.9,194
3.2,3,9.6,198
7.325,40,293.0,200
1.0,1,1.0,202
6.28333333333,6,37.7,204
1.0,1,1.0,206
5.91607142857,336,1987.8,212
6.21428571429,336,2088.0,214
13.6406779661,177,2414.4,216
4.29892473118,93,399.8,218
6.50609756098,82,533.5,220
6.31379310345,29,183.1,224
11.6933333333,45,526.2,228
5.03457912458,297,1495.27,230
7.005,134,938.67,232
10.330349345,458,4731.3,234
7.61215469613,181,1377.8,236
6.68513513514,148,989.4,238
8.45161290323,31,262.0,244
9.53908045977,174,1659.8,250
7.80452173913,115,897.52,254
10.5584337349,166,1752.7,258
10.3923529412,136,1413.36,260
7.68285714286,21,161.34,266
8.14472049689,161,1311.3,268
7.77830188679,106,824.5,270
11.2435483871,62,697.1,272
6.76923076923,65,440.0,274
8.28851351351,148,1226.7,276
5.4829787234,47,257.7,278
12.2130742049,283,3456.3,282
10.7773793103,145,1562.72,286
7.1328358209,268,1911.6,288
4.46181818182,55,245.4,290
7.6712804878,164,1258.09,294
9.42296610169,118,1111.91,296
8.60693548387,124,1067.26,298
11.2904,375,4233.9,300
9.07226277372,137,1242.9,304
6.31923076923,52,328.6,306
5.4033557047,149,805.1,308
7.02857142857,28,196.8,310
9.20888888889,45,414.4,312
8.25321428571,112,924.36,318
5.5722972973,296,1649.4,320
6.79175384615,325,2207.32,322
5.40042553191,235,1269.1,324
10.5527472527,91,960.3,328
12.3500740741,135,1667.26,330
8.69222891566,166,1442.91,334
6.749375,160,1079.9,344
12.3076433121,157,1932.3,346
5.74418604651,172,988.0,348
7.43826815642,179,1331.45,352
7.29905511811,127,926.98,354
11.1238709677,31,344.84,358
7.88470588235,170,1340.4,362
9.20403846154,52,478.61,366
11.9482142857,56,669.1,368
16.5636363636,11,182.2,372
4.85410628019,207,1004.8,376
11.1204761905,42,467.06,384
6.73157894737,19,127.9,386
4.2435483871,62,263.1,388
3.005,20,60.1,390
2.825,12,33.9,394
7.0,2,14.0,396
3.68387096774,31,114.2,400
2.38,5,11.9,404
4.9,1,4.9,406
3.0,2,6.0,408
5.18148148148,27,139.9,412
5.44126984127,63,342.8,416
7.03602941176,136,956.9,418
8.09608695652,276,2234.52,420
7.32592592593,27,197.8,424
6.85342723005,213,1459.78,426
12.2261875,160,1956.19,430
9.53295454545,88,838.9,432
9.97931034483,174,1736.4,438
11.1192957746,142,1578.94,440
8.22914634146,164,1349.58,442
9.84315789474,95,935.1,444
9.11464480874,183,1667.98,446
8.02784482759,116,931.23,448
14.0565656566,99,1391.6,450
5.64347826087,46,259.6,452
6.25869565217,46,287.9,454
12.4841269841,63,786.5,460
2.85,10,28.5,462
6.98048780488,41,286.2,466
8.75673076923,104,910.7,468
7.98484848485,66,527.0,470
10.1244444444,270,2733.6,474
7.68407407407,54,414.94,476
9.75526315789,76,741.4,478
7.09421052632,57,404.37,480
9.11088235294,68,619.54,484
8.8006993007,143,1258.5,486
12.4214035088,285,3540.1,488
10.2111111111,63,643.3,496
5.92543859649,114,675.5,498
5.25772357724,123,646.7,500
10.4529411765,17,177.7,502
8.14871794872,156,1271.2,504
8.98571428571,238,2138.6,508
10.1863247863,117,1191.8,510
7.79714285714,70,545.8,512
5.99814814815,54,323.9,522
9.11160714286,224,2041.0,524
6.8043956044,91,619.2,526
8.99813953488,301,2708.44,528
10.0840659341,182,1835.3,532
10.0990909091,99,999.81,534
14.0233333333,60,841.4,536
11.562371134,388,4486.2,544
8.40825688073,109,916.5,550
7.01666666667,96,673.6,552
6.7825,40,271.3,558
13.6233333333,30,408.7,562
7.4027027027,37,273.9,564
9.31666666667,24,223.6,566
10.8829268293,164,1784.8,570
8.74918032787,61,533.7,572
11.2446153846,130,1461.8,574
12.125,16,194.0,576
13.0887850467,107,1400.5,578
10.8927835052,97,1056.6,580
12.2529411765,51,624.9,582
8.1380952381,63,512.7,584
5.34083333333,120,640.9,586
5.02537313433,134,673.4,588
