avg_ling,ling_count,ling_sum,stu_id
0.962307692308,26,25.02,1
0.765517241379,29,22.2,2
0.9525,8,7.62,3
0.75,6,4.5,8
1.25368421053,19,23.82,9
1.92235294118,34,65.36,10
1.54,6,9.24,11
3.6,6,21.6,17
1.63333333333,3,4.9,20
1.845,4,7.38,22
0.852,5,4.26,23
1.026,10,10.26,28
3.6,3,10.8,29
0.42,12,5.04,32
0.583661971831,71,41.44,34
1.65272727273,11,18.18,35
0.357674418605,86,30.76,36
1.65818181818,22,36.48,37
0.986470588235,68,67.08,38
1.43318181818,44,63.06,39
0.834105263158,95,79.24,46
1.8225,40,72.9,47
0.538714285714,140,75.42,48
1.66363636364,11,18.3,49
3.6,1,3.6,57
0.3,14,4.2,60
0.512307692308,26,13.32,61
0.186382978723,47,8.76,62
1.28352941176,34,43.64,64
1.02666666667,27,27.72,65
0.44,3,1.32,66
0.906666666667,27,24.48,70
2.86153846154,13,37.2,71
3.475,4,13.9,72
0.6744,25,16.86,74
1.47142857143,21,30.9,76
0.976363636364,11,10.74,77
0.75,10,7.5,83
1.52727272727,11,16.8,90
3.3,6,19.8,91
0.751363636364,44,33.06,92
1.99071428571,28,55.74,93
3.6,8,28.8,97
1.92,5,9.6,98
1.71857142857,14,24.06,99
0.504,75,37.8,100
3.0735,40,122.94,101
0.752,45,33.84,104
2.95090909091,11,32.46,105
0.380816326531,49,18.66,108
2.52352941176,17,42.9,109
1.2,3,3.6,110
3.6,5,18.0,113
3.13714285714,35,109.8,115
2.755,24,66.12,117
11.9,1,11.9,118
2.0125,24,48.3,119
6.0,1,6.0,120
1.85409836066,61,113.1,121
3.0,2,6.0,136
2.95411764706,17,50.22,137
3.0,1,3.0,138
3.6,1,3.6,139
0.2928,25,7.32,142
2.07909090909,44,91.48,143
3.6,10,36.0,147
3.0,6,18.0,148
3.6,4,14.4,149
18.1,2,36.2,152
3.4,5,17.0,154
1.935,8,15.48,155
1.56363636364,55,86.0,158
0.642985074627,67,43.08,159
0.552941176471,51,28.2,160
1.34666666667,18,24.24,161
0.816774193548,62,50.64,162
1.38137931034,29,40.06,163
0.15,20,3.0,166
4.0,7,28.0,172
7.825,4,31.3,178
2.3,3,6.9,183
0.321272727273,110,35.34,184
1.662,30,49.86,185
0.479172413793,145,69.48,186
2.216,30,66.48,187
0.762352941176,102,77.76,190
3.6,17,61.2,191
4.0,1,4.0,192
3.6,10,36.0,193
3.6,3,10.8,195
1.16533333333,45,52.44,200
3.102,10,31.02,201
3.28571428571,7,23.0,202
1.91225806452,31,59.28,203
3.0,2,6.0,204
2.73428571429,21,57.42,205
1.22,3,3.66,207
3.6,2,7.2,213
1.52,15,22.8,215
0.955102040816,49,46.8,216
2.77323529412,68,188.58,217
0.520465116279,129,67.14,218
0.849090909091,132,112.08,219
0.932727272727,11,10.26,220
2.65047619048,21,55.66,228
2.87090909091,33,94.74,229
0.506497461929,197,99.78,230
1.95794117647,68,133.14,231
0.831818181818,22,18.3,232
3.6,7,25.2,233
0.95027027027,37,35.16,234
2.80588235294,102,286.2,235
0.547826086957,46,25.2,236
2.34875,48,112.74,237
0.427719298246,171,73.14,238
1.776,45,79.92,239
1.37320754717,53,72.78,244
0.306,10,3.06,245
1.26636363636,22,27.86,250
3.6,4,14.4,251
0.950337078652,89,84.58,254
2.27647058824,51,116.1,255
0.638823529412,102,65.16,258
3.12620689655,29,90.66,259
0.656666666667,66,43.34,260
1.19586206897,29,34.68,261
0.370588235294,17,6.3,266
2.24117647059,17,38.1,267
0.262857142857,7,1.84,268
1.00168141593,226,226.38,270
2.70992125984,127,344.16,271
0.591,20,11.82,272
0.41923566879,157,65.82,274
1.19571428571,28,33.48,275
0.645,104,67.08,276
1.928,15,28.92,277
0.393506493506,77,30.3,278
1.09411764706,17,18.6,279
0.953157894737,38,36.22,282
1.57125,32,50.28,283
1.38333333333,24,33.2,286
0.450852713178,387,174.48,288
1.50797687861,173,260.88,289
0.33,6,1.98,290
0.950526315789,19,18.06,291
0.602173913043,46,27.7,294
0.615707317073,205,126.22,296
1.99071428571,56,111.48,297
0.208817204301,93,19.42,298
1.27235294118,34,43.26,299
0.851379310345,58,49.38,300
1.53428571429,14,21.48,301
1.27,42,53.34,304
0.743571428571,28,20.82,305
0.189090909091,33,6.24,306
0.787058823529,17,13.38,307
0.851780821918,73,62.18,308
0.66,8,5.28,309
1.22,6,7.32,310
3.6,1,3.6,311
1.91695652174,92,176.36,312
1.96736842105,19,37.38,313
0.5136,50,25.68,318
2.337,20,46.74,319
0.17,42,7.14,320
0.531891891892,74,39.36,321
0.17,12,2.04,322
1.2,3,3.6,323
0.4525,24,10.86,324
0.222222222222,27,6.0,328
0.995294117647,17,16.92,329
1.70518518519,54,92.08,330
2.04837209302,43,88.08,331
0.611428571429,42,25.68,334
1.41,22,31.02,335
0.241263157895,95,22.92,344
1.31285714286,42,55.14,345
0.727317073171,41,29.82,346
0.9432,25,23.58,347
0.426363636364,22,9.38,348
0.665,36,23.94,349
0.257307692308,52,13.38,352
0.283636363636,11,3.12,353
0.454285714286,77,34.98,354
0.7546875,64,48.3,355
0.711,20,14.22,358
1.13538461538,26,29.52,362
3.05,12,36.6,363
1.76666666667,3,5.3,366
0.368571428571,7,2.58,368
1.14444444444,18,20.6,372
2.88666666667,9,25.98,373
0.601408450704,71,42.7,376
3.6,1,3.6,377
1.7778125,64,113.78,384
3.56742857143,35,124.86,386
3.8,49,186.2,387
0.436894409938,161,70.34,388
1.18636363636,66,78.3,389
3.6,1,3.6,391
2.178,20,43.56,395
