avg_water,stu_id,water_count,water_sum
1.90924444444,0,225,429.58
1.70493589744,1,156,265.97
1.31960629921,2,508,670.36
0.0225,3,8,0.18
2.88868639053,8,845,2440.94
4.1817766051,9,1137,4754.68
2.59633217993,10,289,750.34
2.20477434679,11,421,928.21
3.58749019608,16,255,914.81
5.15769230769,17,13,67.05
5.63170212766,19,47,264.69
4.14710059172,20,169,700.86
7.39769230769,21,39,288.51
4.50878378378,22,222,1000.95
4.31080321285,23,249,1073.39
2.89676136364,28,176,509.83
3.18821428571,29,56,178.54
2.12620253165,32,79,167.97
2.324,33,5,11.62
2.02643442623,34,244,494.45
2.62110429448,35,163,427.24
2.43533898305,36,472,1149.48
2.50156862745,37,510,1275.8
1.31128342246,38,374,490.42
2.66348214286,39,224,596.62
3.3020295203,46,271,894.85
3.0224566474,47,346,1045.77
3.46003795066,48,527,1823.44
3.02868131868,49,91,275.61
3.7375,56,40,149.5
8.93333333333,57,9,80.4
3.01183050847,60,295,888.49
2.1114213198,61,394,831.9
4.77512195122,62,41,195.78
2.7506557377,64,305,838.95
3.00554216867,65,166,498.92
2.08935742972,66,498,1040.5
1.50810747664,67,428,645.47
4.52286764706,70,136,615.11
1.96,71,51,99.96
4.05792792793,72,111,450.43
2.36848484848,73,33,78.16
2.62311111111,74,225,590.2
2.7500248139,75,403,1108.26
0.838838951311,76,267,223.97
2.03833333333,77,84,171.22
1.80669201521,82,263,475.16
3.39355421687,83,166,563.33
2.79703196347,88,219,612.55
2.90213235294,89,136,394.69
3.91725146199,90,171,669.85
1.62967741935,91,93,151.56
2.29286184211,92,304,697.03
2.03679586563,93,387,788.24
3.10400826446,96,242,751.17
2.85590909091,97,176,502.64
3.24811158798,98,466,1513.62
2.16465838509,99,483,1045.53
3.15979166667,100,240,758.35
2.34613138686,101,137,321.42
3.24967741935,102,155,503.7
2.56524752475,103,101,259.09
0.9760546875,104,768,749.61
0.962791023843,105,713,686.47
2.05583984375,108,512,1052.59
2.02024107143,109,1120,2262.67
4.03945736434,110,129,521.09
3.02580645161,111,31,93.8
3.03912951168,112,471,1431.43
4.07494845361,113,291,1185.81
4.32145555556,114,900,3889.31
3.72483300589,115,509,1895.94
1.5220990099,116,1515,2305.98
2.55386934673,117,597,1524.66
3.53741535921,118,1211,4283.81
4.57147403685,119,597,2729.17
2.71262144054,120,1194,3238.87
4.32461780105,121,955,4130.01
4.11771517997,136,1278,5262.44
3.29316155989,137,1436,4728.98
2.60177364865,138,1184,3080.5
4.64178308824,139,544,2525.13
4.65003257329,140,307,1427.56
3.93565891473,141,258,1015.4
3.88414634146,142,123,477.75
2.07096463023,143,311,644.07
2.79746728972,146,1070,2993.29
2.8743457383,147,833,2394.33
4.24970689655,148,580,2464.83
4.10869649805,149,514,2111.87
2.86888619855,152,1239,3554.55
3.19459244533,153,1006,3213.76
3.35302152932,154,1347,4516.52
3.11016156463,155,1176,3657.55
2.66273399015,158,406,1081.07
4.18992307692,159,650,2723.45
3.72498039216,160,255,949.87
3.5563592233,161,412,1465.22
2.03794670846,162,638,1300.21
3.02413551402,163,428,1294.33
3.05184257603,166,559,1705.98
3.29436149312,167,1018,3353.66
6.42171171171,172,222,1425.62
7.79298245614,173,57,444.2
5.39730452675,178,486,2623.09
5.38430939227,179,181,974.56
2.55778625954,182,131,335.07
4.95555555556,183,18,89.2
2.48435013263,184,377,936.6
2.57525987526,185,962,2477.4
1.21228228228,186,666,807.38
1.55422541157,187,2369,3681.96
5.95324675325,190,154,916.8
4.37759259259,191,270,1181.95
5.19421150278,192,539,2799.68
4.29706439394,193,528,2268.85
4.48452380952,194,462,2071.85
5.07743670886,195,316,1604.47
7.795625,198,176,1372.03
7.36772727273,199,110,810.45
1.29973621103,200,417,541.99
3.59911904762,201,420,1511.63
